,date,price,title
198,2023-02-21 00:00:00,299.00,Nikon AF-S DX NIKKOR 10-24mm F3.5-4.5G ED Zoom Lens #2
199,2023-02-16 00:00:00,285.57,Nikon AF-S DX NIKKOR 10-24mm F/3.5-4.5G ED #200
200,2023-02-16 00:00:00,279.00,Nikon AF-S DX NIKKOR 10-24mm f/3.5-4.5G ED Zoom Lens
201,2023-02-13 00:00:00,339.00,Mint Nikon AF-S DX NIKKOR 10-24mm f3.5-4.5 G ED Lens with Hood #39967
202,2023-02-09 00:00:00,220.00,Nikon Nikkor AF-S DX 10-24mm f3.5-4.5 G ED Lens; HB-23 HOOD; CASE.
203,2023-02-01 00:00:00,285.00,Nikon AF-S Nikkor DX 10-24mm f/3.5-4.5G ED Zoom Lens w/Hood [N Mint] JPN 1112504
204,2023-02-01 00:00:00,299.50,Nikon AF-S DX NIKKOR 10-24mm f/3.5-4.5G ED Zoom Lens with AF For Nikon DSLR
205,2023-01-29 00:00:00,324.00,NIKON AF-S NIKKOR  DX 10-24mm F/3.5-4.5 G ED LENS Mint Condition 
206,2023-01-16 00:00:00,384.79,Nikon Nikkor AF-S 10-24mm f3.5-4.5 G DX ED IF Lens AFS #428
207,2023-01-08 00:00:00,274.99,Nikon AF-S DX NIKKOR 10-24mm f/3.5-4.5G ED Zoom Lens for F Mount Camera Used
208,2023-01-06 00:00:00,225.00,Nikon AF-S DX NIKKOR 10-24mm f/3.5-4.5G ED Wide Angle Zoom Lens
209,2022-12-30 00:00:00,296.99,Nikon Nikkor AF-S 10-24mm f/3.5-4.5G DX ED Aspherical Lens w/ Hood #PS94594
210,2022-12-30 00:00:00,289.00,Nikon AF-S DX NIKKOR 10-24mm F3.5-4.5G ED Zoom Lens - plus Filter
211,2022-12-28 00:00:00,239.98,[N Mint] Nikon AF-S Nikkor 10-24mm F/3.5-4.5 G ED Lens w/cap 2001471 #297
212,2022-12-27 00:00:00,199.95,EXCELLENT Nikon AF-S DX NIKKOR 10-24mm F/3.5-4.5 G ED F Mount Wide Zoom Lens
213,2022-12-27 00:00:00,187.01,Nikon Camera Lens AF-S DX Nikkor 10-24mm f/3.5-4.5G SWM ED IF 77 w/Hood & Box
